femur_tangage,femur_roulis,femur_lacet,tibia_tangage,tibia_roulis,tibia_lacet,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
73.534751,174.014683,-130.156443,0,0,0,-18.125000,-18.125000,-18.125000,0,0,0 
-44.864874,174.664180,-36.196746,0,0,0,-19.375000,-19.375000,-18.125000,0,0,0 
28.856827,-39.231241,152.438675,0,0,0,-19.375000,-19.375000,-19.375000,0,0,0 
-31.743503,121.208821,8.591857,0,0,0,-18.125000,-18.125000,-19.375000,0,0,0 
-45.971873,-19.791487,12.044868,0,0,0,-18.125000,-19.375000,-19.375000,0,0,0 
-7.275182,144.886708,-24.255500,0,0,0,-18.125000,-19.375000,-18.125000,0,0,0 
47.326170,153.694728,75.589679,0,0,0,-19.375000,-18.125000,-18.125000,0,0,0 
-69.223862,105.965126,6.353392,0,0,0,-19.375000,-18.125000,-19.375000,0,0,0 
55.954975,127.757086,115.361178,0,0,0,-16.875000,-18.125000,-19.375000,0,0,0 
-74.928656,-79.432508,59.684814,0,0,0,-16.875000,-18.125000,-18.125000,0,0,0 
29.181196,32.572931,-30.874242,0,0,0,-15.625000,-18.125000,-18.125000,0,0,0 
-35.762961,-105.857187,-125.257953,0,0,0,-16.875000,-19.375000,-18.125000,0,0,0 
-14.868396,99.160065,-163.040041,0,0,0,-16.875000,-19.375000,-19.375000,0,0,0 
27.308073,43.410494,-70.526645,0,0,0,-15.625000,-18.125000,-19.375000,0,0,0 
-47.238827,-18.852925,-149.322539,0,0,0,-15.625000,-19.375000,-19.375000,0,0,0 
-68.650716,-10.766516,141.179560,0,0,0,-15.625000,-19.375000,-18.125000,0,0,0 
4.215895,-133.178334,-145.731948,0,0,0,-14.375000,-19.375000,-18.125000,0,0,0 
69.776225,145.901467,-70.374461,0,0,0,-13.125000,-18.125000,-18.125000,0,0,0 
11.205045,29.536193,39.878411,0,0,0,-13.125000,-18.125000,-19.375000,0,0,0 
-40.633573,159.787481,-94.144602,0,0,0,-14.375000,-19.375000,-19.375000,0,0,0 
76.489483,11.706973,-2.429142,0,0,0,-13.125000,-19.375000,-19.375000,0,0,0 
45.132468,14.210178,-159.128996,0,0,0,-13.125000,-19.375000,-18.125000,0,0,0 
49.708608,-126.011858,-164.569524,0,0,0,-14.375000,-18.125000,-18.125000,0,0,0 
6.933993,134.093915,-18.206936,0,0,0,-14.375000,-18.125000,-19.375000,0,0,0 
-20.810661,137.247554,13.448643,0,0,0,-11.875000,-18.125000,-19.375000,0,0,0 
-23.585626,53.304607,24.852997,0,0,0,-11.875000,-18.125000,-18.125000,0,0,0 
-63.526470,48.242768,66.571606,0,0,0,-10.625000,-18.125000,-18.125000,0,0,0 
-24.830354,51.712289,92.131570,0,0,0,-11.875000,-19.375000,-18.125000,0,0,0 
42.974020,-50.213899,133.469640,0,0,0,-11.875000,-19.375000,-19.375000,0,0,0 
-0.321458,-170.915782,-149.172796,0,0,0,-10.625000,-18.125000,-19.375000,0,0,0 
-74.108554,100.433016,-50.641373,0,0,0,-10.625000,-19.375000,-19.375000,0,0,0 
-20.433441,154.642932,92.022024,0,0,0,-10.625000,-19.375000,-18.125000,0,0,0 
-33.768715,95.058248,95.458700,0,0,0,-9.375000,-19.375000,-18.125000,0,0,0 
13.367768,-121.474562,-171.847202,0,0,0,-9.375000,-19.375000,-19.375000,0,0,0 
-4.991063,73.164883,92.607400,0,0,0,-8.125000,-18.125000,-19.375000,0,0,0 
-39.269822,-11.412560,116.092406,0,0,0,-8.125000,-19.375000,-19.375000,0,0,0 
